Unique Response Number,Q1,Q2,Q2_Other,Q3,Q3_Other,Q4,Q4_Other,Q5,Q5_Other,Q6,Q6_Other,Q7,Q7_Other,Q8,Q8_Other,Q9,Q9_Other,Q10,Q10_Other,Q11,Q11_Other,Q12,Q12_a,Q12_a_Other,Q12_b,Q12_b_Other,Q12_c,Q12_c_Other,Q12_d,Q12_d_Other,Q12_e,Q12_e_Other,Q12_f,Q12_f_Other,Q12_g,Q12_g_Other,Q12_h,Q12_h_Other,Q12_i,Q12_i_Other,Q12_j,Q12_j_Other,Q12_k,Q12_k_Other,Q12_l,Q12_l_Other,Q12_m,Q12_m_Other,Q13,Q13_a,Q13_a_Other,Q13_b,Q13_b_Other,Q13_c,Q13_c_Other,Q13_d,Q13_d_Other,Q13_e,Q13_e_Other,Q13_f,Q13_f_Other,Q13_g,Q13_g_Other,Q13_h,Q13_h_Other,Q13_i,Q13_i_Other,Q13_j,Q13_j_Other,Q13_k,Q13_k_Other,Q14,Q14_a_1,Q14_a_2,Q14_a_3,Q14_a_Other,Q14_b_1,Q14_b_2,Q14_b_3,Q14_b_Other,Q14_c_1,Q14_c_2,Q14_c_3,Q14_c_Other,Q14_d_1,Q14_d_2,Q14_d_3,Q14_d_Other,Q14_e_1,Q14_e_2,Q14_e_3,Q14_e_Other,Q14_f_1,Q14_f_2,Q14_f_3,Q14_f_Other,Q14_g_1,Q14_g_2,Q14_g_3,Q14_g_Other,Q14_h_1,Q14_h_2,Q14_h_3,Q14_h_Other,Q14_i_1,Q14_i_2,Q14_i_3,Q14_i_Other,Q14_j_1,Q14_j_2,Q14_j_3,Q14_j_Other,Q15,Q15_a,Q15_a_Other,Q15_b,Q15_b_Other,Q15_c,Q15_c_Other,Q15_d,Q15_d_Other,Q15_e,Q15_e_Other,Q15_f,Q15_f_Other,Q15_g,Q15_g_Other,Q15_h,Q15_h_Other,Q15_i,Q15_i_Other,Q15_j,Q15_j_Other,Q15_k,Q15_k_Other,Q15_l,Q15_l_Other,Q15_m,Q15_m_Other,Q15_n,Q15_n_Other,Q15_o,Q15_o_Other,Q15_p,Q15_p_Other,Q15_q,Q15_q_Other,Q15_r,Q15_r_Other,Q15_s,Q15_s_Other,Q15_t,Q15_t_Other,Q15_u,Q15_u_Other,Q15_v,Q15_v_Other,Q15_w,Q15_w_Other,Q15_x,Q15_x_Other,Q15_y,Q15_y_Other,Q15_z,Q15_z_Other,Q16,Q16_a_1,Q16_a_2,Q16_a_3,Q16_a_4,Q16_a_5,Q16_a_6,Q16_a_7,Q16_a_Other,Q16_b_1,Q16_b_2,Q16_b_3,Q16_b_4,Q16_b_5,Q16_b_6,Q16_b_7,Q16_b_Other,Q16_c_1,Q16_c_2,Q16_c_3,Q16_c_4,Q16_c_5,Q16_c_6,Q16_c_7,Q16_c_Other,Q16_d_1,Q16_d_2,Q16_d_3,Q16_d_4,Q16_d_5,Q16_d_6,Q16_d_7,Q16_d_Other,Q16_e_1,Q16_e_2,Q16_e_3,Q16_e_4,Q16_e_5,Q16_e_6,Q16_e_7,Q16_e_Other,Q16_f_1,Q16_f_2,Q16_f_3,Q16_f_4,Q16_f_5,Q16_f_6,Q16_f_7,Q16_f_Other,Q17,Q17_a,Q17_a_Other,Q17_b,Q17_b_Other,Q17_c,Q17_c_Other,Q17_d,Q17_d_Other,Q17_e,Q17_e_Other,Q18,Q18_Other,Q19,Q19_Other,Q20,Q20_Other,Q21,Q21_Other,Q22,Q22_Other,Date
10731262,59,1,,4,,2,,,,6,,2,,2,,1,,7,,1,,,1,,1,,1,,2,,2,,1,,2,,1,,6,,6,,6,,2,,3,,,2,,4,,2,,2,,1,,2,,2,,2,,4,,4,,4,,,0,0,0,,1,0,0,,0,0,0,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,2,,2,,3,,1,,2,,3,,3,,1,,1,,2,,1,,4,,4,,1,,2,,1,,3,,1,,3,,2,,2,,3,,1,,3,,3,,1,,,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,,,4,,1,,4,,2,,1,,2,,5,,3,,3,,2,,30/01/2013
10731264,44,2,,6,associate degree,1,,1,,6,,2,,1,,1,,3,,1,,,1,,3,,5,,5,,2,,2,,2,,5,,2,,5,,6,,5,,5,,,2,,1,,2,,1,,4,,4,,4,,3,,5,,4,,4,,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,0,0,0,,0,0,0,,,2,,1,,2,,2,,1,,5,,5,,1,,2,,1,,3,,1,,5,,1,,1,,1,,1,,3,,1,,2,,2,,2,,1,,1,,1,,1,,,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,,,1,,2,,2,,2,,2,,2,,2,,4,,3,,2,,30/01/2013
10731276,,1,,5,,2,,,,4,,2,,2,,1,,6,,1,,,2,,2,,3,,3,,5,,4,,4,,2,,2,,5,,4,,5,,3,,,4,,4,,4,,4,,4,,3,,5,,4,,5,,4,,5,,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1,,1,,3,,3,,3,,1,,2,,1,,3,,2,,2,,1,,3,,2,,1,,1,,1,,2,,1,,1,,1,,2,,1,,2,,2,,1,,,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,,,3,,,,1,,1,,2,,1,,3,,6,,3,,2,,30/01/2013
10731342,50,1,,2,,1,,2,,7,,2,,1,,1,,4,,1,,,2,,2,,3,,2,,2,,3,,4,,2,,3,,6,,6,,5,,5,,,5,,5,,3,,5,,4,,4,,3,,4,,4,,4,,5,,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,2,,2,,3,,3,,4,,5,,4,,2,,3,,3,,3,,2,,4,,2,,2,,2,,4,,1,,4,,2,,2,,2,,2,,3,,4,,3,,,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,,,,,2,,1,,2,,3,,2,,4,,4,,1,,3,,30/01/2013
10731441,47,1,,4,,1,,3,,7,,2,,2,,1,,,,1,,,1,,3,,4,,2,,3,,3,,3,,3,,2,,4,,4,,5,,4,,,3,,2,,4,,4,,3,,3,,4,,4,,3,,3,,4,,,0,0,0,,1,0,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,5,,4,,2,,3,,5,,5,,5,,5,,5,,5,,5,,4,,5,,4,,2,,4,,4,,4,,4,,2,,2,,3,,3,,4,,5,,5,,,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,,,3,,4,,4,,4,,4,,2,,1,,3,,3,,3,,30/01/2013
10731565,37,1,,6,Legal Practice Certificate,1,,4,,6,,1,,,,1,,3,,1,,,2,,3,,3,,3,,3,,2,,2,,2,,,,5,,6,,3,,3,,,4,,5,,,,2,,,,3,,1,,3,,4,,4,,3,,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,1,,1,,2,,1,,1,,3,,3,,1,,4,,1,,2,,1,,3,,1,,1,,1,,3,,1,,3,,2,,2,,4,,1,,2,,3,,2,,,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,,,3,,2,,3,,3,,1,,2,,5,,2,,2,,2,,30/01/2013
10731611,43,1,,3,,1,,1,,6,,1,,,,1,,2,,1,,,1,,2,,3,,2,,2,,2,,2,,2,,6,,6,,6,,7,,5,,,4,,5,,4,,4,,3,,3,,3,,3,,5,,4,,4,,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,1,,1,,2,,2,,2,,4,,4,,1,,4,,2,,2,,2,,1,,1,,2,,2,,2,,1,,3,,1,,1,,4,,1,,2,,2,,1,,,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,,,3,,3,,3,,3,,1,,2,,4,,3,,3,,2,,30/01/2013
10731632,39,1,,1,,1,,1,,7,,2,,2,,2,,,,1,,,1,,2,,2,,6,,2,,3,,3,,2,,6,,6,,6,,5,,6,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,1,,1,,2,,2,,3,,1,,4,,1,,5,,1,,1,,1,,5,,1,,1,,1,,3,,2,,2,,1,,1,,2,,2,,2,,2,,2,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,,0,1,0,0,0,0,0,,0,0,0,1,0,1,0,,,1,,1,,2,,2,,1,,2,,4,,3,,3,,5,,30/01/2013
10731862,48,2,,4,,1,,1,,7,,2,,2,,2,,,,1,,,1,,1,,1,,6,,2,,2,,2,,3,,6,,6,,6,,3,,3,,,4,,5,,5,,5,,4,,4,,3,,4,,5,,4,,4,,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,2,,2,,2,,2,,2,,2,,3,,1,,3,,1,,2,,3,,3,,2,,3,,3,,4,,1,,2,,3,,3,,4,,2,,3,,3,,2,,,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,,,3,,2,,2,,3,,1,,2,,3,,2,,2,,2,,30/01/2013
10731865,54,1,,2,,1,,6,,8,,2,,2,,1,,4,,1,,,1,,2,,3,,4,,4,,2,,2,,2,,4,,4,,4,,6,,1,,,5,,5,,5,,5,,5,,4,,3,,4,,5,,5,,5,,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,5,,2,,4,,4,,4,,3,,4,,1,,5,,2,,2,,3,,5,,1,,2,,1,,2,,1,,3,,2,,2,,2,,2,,3,,2,,2,,,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,,,4,,3,,4,,3,,2,,2,,5,,3,,3,,3,,30/01/2013
10731885,45,2,,2,,1,,1,,7,,2,,2,,1,,2,,1,,,2,,2,,4,,5,,2,,2,,2,,2,,5,,5,,5,,5,,5,,,3,,5,,5,,4,,4,,4,,4,,4,,5,,5,,4,,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1,,1,,3,,3,,3,,3,,4,,2,,3,,1,,2,,2,,3,,1,,2,,1,,2,,1,,2,,2,,2,,2,,1,,1,,1,,1,,,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,,,2,,2,,3,,3,,1,,2,,4,,4,,3,,3,,30/01/2013
10731940,35,1,,3,,1,,2,,6,,1,,,,2,,,,1,,,2,,3,,3,,3,,2,,2,,2,,5,,2,,3,,5,,3,,5,,,2,,5,,2,,4,,4,,1,,1,,4,,5,,2,,5,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,2,,2,,2,,2,,2,,4,,4,,2,,3,,2,,2,,2,,5,,2,,2,,2,,4,,2,,2,,2,,2,,5,,2,,2,,2,,3,,,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,,,3,,4,,4,,1,,1,,2,,5,,2,,3,,2,,30/01/2013
10732044,52,1,,3,,2,,,,1,,2,,,,1,,4,,3,Contractor within a government department,,1,,1,,1,,2,,1,,1,,4,,1,,7,,7,,4,,2,,2,,,5,,5,,5,,5,,5,,5,,3,,3,,3,,3,,3,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,0,1,0,,1,0,0,,0,0,0,,1,0,0,,0,0,0,,,1,,1,,2,,2,,2,,3,,3,,1,,1,,1,,1,,4,,,,1,,1,,2,,3,,1,,3,,1,,2,,1,,2,,2,,2,,1,,,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,,,4,,2,,4,,3,,1,,2,,3,,2,,3,,3,,30/01/2013
10732066,50,1,,4,,1,,5,,5,,1,,,,1,,7,,1,,,2,,2,,2,,3,,2,,2,,2,,2,,5,,5,,6,,3,,3,,,2,,5,,2,,3,,3,,2,,2,,2,,5,,2,,2,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,1,,1,,3,,2,,2,,1,,3,,1,,4,,1,,1,,2,,5,,2,,2,,3,,3,,1,,3,,1,,1,,3,,1,,4,,3,,3,,,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,,,4,,3,,4,,4,,1,,2,,2,,4,,3,,2,,30/01/2013
10732089,58,1,,6,Professional Accounting Qualification,1,,2,,7,,2,,2,,1,,5,,1,,,1,,2,,2,,2,,2,,2,,2,,2,,4,,6,,6,,6,,7,,,4,,5,,2,,4,,4,,4,,4,,4,,5,,5,,5,,,0,0,0,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,1,,1,,2,,2,,2,,4,,5,,1,,2,,1,,2,,2,,5,,1,,1,,1,,2,,,,2,,2,,1,,2,,1,,1,,2,,1,,,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,,,4,,1,,3,,4,,1,,3,Corruption and fraud arising from naivite,4,,2,,2,,2,,30/01/2013
10732146,61,1,,2,,1,,6,,8,,1,,,,2,,,,1,,,1,,1,,1,,6,,2,,1,,1,,1,,4,,7,,5,,4,,4,,,4,,4,,4,,4,,4,,2,,2,,2,,5,,4,,2,,,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1,,1,,2,,1,,2,,5,,4,,1,,3,,1,,1,,1,,2,,1,,2,,2,,2,,1,,2,,1,,1,,2,,1,,1,,2,,1,,,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,,,2,,2,,1,,2,,1,,2,,5,,2,,3,,4,,30/01/2013
10732223,43,2,,4,,1,,1,,6,,2,,1,,1,,3,,1,,,1,,2,,3,,6,,1,,2,,2,,6,,5,,5,,5,,2,,2,,,5,,5,,5,,5,,5,,4,,3,,5,,5,,5,,5,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,,0,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,1,,1,,1,,1,,3,,1,,3,,1,,5,,2,,4,,3,,4,,1,,2,,2,,3,,1,,2,,1,,2,,4,,3,,3,,3,,1,,,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,,,2,,2,,3,,3,,1,,2,,5,,6,,5,,2,,30/01/2013
