Q1,What is your age?
Q14_j_1,Most important
Q14_j_2,Second most important
Q14_j_3,Other
Q14_j_Other,Other
Q15,"In making decisions regarding how you should conduct yourself in the workplace, how important to you are the factors listed below?"
Q15_a,Duty to your organisation
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_b,Professional standards of ethics
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_c,Opinions of your superiors
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_d,Opinions of your co-workers in the workplace
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_e,Opinions of your professional colleagues
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_f,Opinions of your family
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_g,Opinions of your friends
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_h,Your own conscience
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_i,Avoidance of conflict
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_j,Respect for human dignity
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_k,Respect for individual freedom and autonomy
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_l,Respect for individual privacy
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_m,Appearing selfless
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_n,Your personal integrity
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_o,Maintaining your objectivity
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_p,Your personal level of accountability
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_q,Openness to the public
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_r,Honesty
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_s,The leadership of your superiors
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_t,Fairness
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_u,Equality
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_v,Your personal well-being
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_w,Respect for the law
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_x,Respect for organisational rules and regulations
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_y,The reputation of your organisation
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q15_z,Your own reputation
1,Very Important
2,Important
3,Moderately Important
4,Only marginally important
5,Not important at all
6,Other
Q16,"Unethical behaviour in organisations (for example corruption, unfairness, betrayal of organisational interests, etc.) results from a number of factors. If you were to explain unethical behaviour that might arise in your own organisation, how would you rank the relative importance of following factors? (use '1' for the most important item and '6' for the least important item)"
Q16_a,Behaviour of superiors
Q16_a_1,1
Q16_a_2,2
Q16_a_3,3
Q16_a_4,4
Q16_a_5,5
Q16_a_6,6
Q16_a_7,Other
Q16_a_Other,Other
Q16_b,Society's moral climate
Q16_b_1,1
Q16_b_2,2
Q16_b_3,3
Q16_b_4,4
Q16_b_5,5
Q16_b_6,6
Q16_b_7,Other
Q16_b_Other,Other
Q16_c,Behaviour of one's colleagues in the workplace
Q16_c_1,1
Q16_c_2,2
Q16_c_3,3
Q16_c_4,4
Q16_c_5,5
Q16_c_6,6
Q16_c_7,Other
Q16_c_Other,Other
Q16_d,The practices of one's profession
Q16_d_1,1
Q16_d_2,2
Q16_d_3,3
Q16_d_4,4
Q16_d_5,5
Q16_d_6,6
Q16_d_7,Other
Q16_d_Other,Other
Q16_e,Formal organisation policy
Q16_e_1,1
Q16_e_2,2
Q16_e_3,3
Q16_e_4,4
Q16_e_5,5
Q16_e_6,6
Q16_e_7,Other
Q16_e_Other,Other
Q16_f,Personal interests
Q16_f_1,1
Q16_f_2,2
Q16_f_3,3
Q16_f_4,4
Q16_f_5,5
Q16_f_6,6
Q16_f_7,Other
Q16_f_Other,Other
Q17,The following list contains some suggestions which been proposed for improving ethical behaviour and decision-making among public officials. How useful do you think they are?
Q17_a,Stricter hierarchical supervision
1,Very useful
2,Useful
3,Not very useful
4,Not at all useful
5,Other
Q17_b,Develop training programs to cultivate a stronger sense of morality among public officials
1,Very useful
2,Useful
3,Not very useful
4,Not at all useful
5,Other
Q17_c,Adopt more legislation to regulate and punish unethical behaviour in the public sector
1,Very useful
2,Useful
3,Not very useful
4,Not at all useful
5,Other
Q17_d,Introduce a more detailed code of administrative ethics to guide bureaucratic actions and decisions
1,Very useful
2,Useful
3,Not very useful
4,Not at all useful
5,Other
Q17_e,Create a moral climate in the public sector through exemplary political and administrative leadership
1,Very useful
2,Useful
3,Not very useful
4,Not at all useful
5,Other
Q18,"During the last five years, have you personally observed any behaviour in your current workplace that you consider corrupt?"
1,Yes
2,No
3,Other
Q19,"Overall, how would you rate the standards of conduct of public office holders in the United Kingdom?"
1,Very low
2,Quite low
3,Neither high nor low
4,Quite high
5,Very high
6,Don't know
7,Other
Q20,And how do you think standards of public office holders in the United Kingdom today compare with a few years ago?
1,Got a lot worse
2,Got a bit worse
3,Stayed the same
4,Improved a little
5,Improved a lot
6,Don't know
7,Other
Q21,How confident do you feel that the authorities in the United Kingdom are committed to improving standards in public life?
1,Not at all confident
2,Not very confident
3,Fairly confident
4,Very confident
5,Don't know
6,Other
Q22,And how confident do you feel that the authorities will generally uncover wrongdoing by people in public life?
1,Not at all confident
2,Not very confident
3,Fairly confident
4,Very confident
5,Don't know
6,Other
